PBP_ID,Inventory,Institution,institution_city,institution_country,library_localisation,country_certainty,country,region,city,library_dating,circa,century,min_date,max_date,scribe,script,mss_height,mss_width,combined_size,Ruzzier_group,justification_height,justification_width,volumes,v1_folios,v2_folios,v3_folios,columns,min_lines,max_lines,citation,digitisation,Downloadable,Link,IIIF manifest
24,Takamiya 104,"Beinecke Library, Yale",New Haven,United States of America,,,,,,,,,,,,,212,145,357,1,,,,218 l. : parchment ; 212 x 145 .,,,,,,,Y,,https://brbl-dl.library.yale.edu/vufind/Search/Results?lookfor=%22Takamiya+MS+104%22&type=CallNumber,
25,27/28,"Bern, Burgerbibliothek",Bern,Switzerland,southern France,Y,France,,,2nd half 13,,13,,,,,385,265,650,3,,,2,,,,,,,,Y,,https://www.e-codices.ch/en/list/one/bbb/0027,https://www.e-codices.ch/metadata/iiif/bbb-0027/manifest.json
26,Reg.lat.16,Biblioteca Vaticana,Vatican,Vatican,France?,N,France,,,1276-1300,,13,,,,,,,0,,,,,499,,,2,,,,Y,,,https://digi.vatlib.it/iiif/MSS_Reg.lat.16/manifest.json
27,Reg.lat.3,Biblioteca Vaticana,Vatican,Vatican,France?,N,France,,,1276-1300,,13,,,,,180,120,300,,,,,627,,,2,,,,Y,,,https://digi.vatlib.it/iiif/MSS_Reg.lat.3/manifest.json
28,Ross.314,Biblioteca Vaticana,Vatican,Vatican,Northern? France,Y,France,,,1226-1275,,13,,,,,176,116,292,,,,,534,,,2,,,,Y,,,https://digi.vatlib.it/iiif/MSS_Ross.314/manifest.json
29,Urb.lat.587,Biblioteca Vaticana,Vatican,Vatican,,,,,,1276-1325,,13,,,,,,,0,,,,,509,,,2,,,,Y,,,https://digi.vatlib.it/iiif/MSS_Urb.lat.587/manifest.json
30,Urb.lat.588,Biblioteca Vaticana,Vatican,Vatican,,,,,,1276-1325,,13,,,,,,,0,,,,,332,,,2,,,,Y,,,https://digi.vatlib.it/iiif/MSS_Urb.lat.588/manifest.json
31,Urb.lat.597,Biblioteca Vaticana,Vatican,Vatican,,,,,,14th,,14,,,,,,,0,,,,,574,,,2,,,,Y,,,https://digi.vatlib.it/iiif/MSS_Urb.lat.597/manifest.json
32,Urb.lat.7,Biblioteca Vaticana,Vatican,Vatican,,,,,,14th c,,14,,,,,,,0,,,,,420,,,2,,,,Y,,,https://digi.vatlib.it/iiif/MSS_Urb.lat.7/manifest.json
33,Vat Lat 28,Biblioteca Vaticana,Vatican,Vatican,Italy (?),N,Italy,,,XII-XIV,,12/13/14,,,,,196,134,330,,,,,578,,,,,,Miriello 2004,Y,,https://digi.vatlib.it/iiif/MSS_Vat.lat.28/manifest.json,
34,Vat Lat 47,Biblioteca Vaticana,Vatican,Vatican,Italy (?),N,Italy,,,XII-XIV,,12/13/14,,,,,182,129,311,,,,,413,,,,,,Miriello 2004,Y,,http://www.mss.vatlib.it/gui/console?service=shortDetail&id=204543,
35,Vat.lat.1,Biblioteca Vaticana,Vatican,Vatican,,,,,,1454,,15,,,,,,,0,,,,,,,,,,,,Y,,,https://digi.vatlib.it/iiif/MSS_Vat.lat.1/manifest.json
36,Vat.lat.17,Biblioteca Vaticana,Vatican,Vatican,,,,,,14th,,14,1301,1400,,,,,0,,,,,,,,,,,,Y,,,https://digi.vatlib.it/iiif/MSS_Vat.lat.17/manifest.json
37,Vat.lat.18,Biblioteca Vaticana,Vatican,Vatican,,,,,,14th,,14,1301,1400,,,,,0,,,,,,,,,,,,Y,,,https://digi.vatlib.it/iiif/MSS_Vat.lat.18/manifest.json
38,Vat.lat.19,Biblioteca Vaticana,Vatican,Vatican,,,,,,14th,,14,1301,1400,,,,,0,,,,,,,,,,,,Y,,,https://digi.vatlib.it/iiif/MSS_Vat.lat.19/manifest.json
39,Vat.lat.20,Biblioteca Vaticana,Vatican,Vatican,,,,,,1401-1450,,15,1401,1450,,,434,280,714,,,,,421,,,,,,,Y,,,https://digi.vatlib.it/iiif/MSS_Vat.lat.20/manifest.json
40,Vat.lat.21,Biblioteca Vaticana,Vatican,Vatican,,,,,,1276-1325,,13,1276,1325,,,307,209,516,,,,,450,,,,,,,Y,,,https://digi.vatlib.it/iiif/MSS_Vat.lat.21/manifest.json
41,Vat.lat.22,Biblioteca Vaticana,Vatican,Vatican,,,,,,14th,,14,1301,1400,,,305,216,521,,,,,527,,,,,,,Y,,,https://digi.vatlib.it/iiif/MSS_Vat.lat.22/manifest.json
42,Vat.lat.24,Biblioteca Vaticana,Vatican,Vatican,,,,,,13th,,13,1201,1300,,,234,160,394,,,,,632,,,,,,,Y,,,https://digi.vatlib.it/iiif/MSS_Vat.lat.24/manifest.json
43,Vat.lat.25,Biblioteca Vaticana,Vatican,Vatican,,,,,,13th,,13,1201,1300,,,231,157,388,,,,,450,,,,,,,Y,,,https://digi.vatlib.it/iiif/MSS_Vat.lat.25/manifest.json
44,Vat.lat.26,Biblioteca Vaticana,Vatican,Vatican,,,,,,1375-1400,,14,1375,1400,,,320,219,539,,,,,666,,,,,,,Y,,,https://digi.vatlib.it/iiif/MSS_Vat.lat.26/manifest.json
45,Vat.lat.27,Biblioteca Vaticana,Vatican,Vatican,,,,,,13th c,,13,1201,1300,,,205,138,343,,,,,360,,,,,,,Y,,,https://digi.vatlib.it/iiif/MSS_Vat.lat.27/manifest.json
46,Vat.lat.29,Biblioteca Vaticana,Vatican,Vatican,,,,,,14th,,14,1301,1400,,,178,118,296,,,,,,,,,,,,Y,,,https://digi.vatlib.it/iiif/MSS_Vat.lat.29/manifest.json
47,Vat.lat.30,Biblioteca Vaticana,Vatican,Vatican,,,,,,14th,,14,1301,1400,,,,,0,,,,,,,,,,,,Y,,,https://digi.vatlib.it/iiif/MSS_Vat.lat.30/manifest.json
48,Vat.lat.31,Biblioteca Vaticana,Vatican,Vatican,,,,,,1376-1400,,14,1376,1400,,,239,169,408,,,,,460,,,,,,,Y,,,https://digi.vatlib.it/iiif/MSS_Vat.lat.31/manifest.json
49,Vat.lat.33,Biblioteca Vaticana,Vatican,Vatican,France,Y,France,,,1276-1325,,13,1276,1325,,,225,148,373,,,,,364,,,,,,,Y,,,https://digi.vatlib.it/iiif/MSS_Vat.lat.33/manifest.json
50,Vat.lat.34,Biblioteca Vaticana,Vatican,Vatican,Northern Italy,Y,Italy,,,1376-1425,,14,1375,1425,,,231,170,401,,,,,575,,,,,,,Y,,,https://digi.vatlib.it/iiif/MSS_Vat.lat.34/manifest.json
51,Vat.lat.35,Biblioteca Vaticana,Vatican,Vatican,,,,,,14th,,14,1301,1400,,,237,155,392,,,,,358,,,,,,,Y,,,https://digi.vatlib.it/iiif/MSS_Vat.lat.35/manifest.json
52,Vat.lat.3513,Biblioteca Vaticana,Vatican,Vatican,,,,,,13th,,13,1201,1300,,,,,0,,,,,,,,,,,,Y,,,https://digi.vatlib.it/iiif/MSS_Vat.lat.3513/manifest.json
53,Vat.lat.36,Biblioteca Vaticana,Vatican,Vatican,,,,,,14th,,14,1301,1400,,,,,0,,,,,,,,,,,,Y,,,https://digi.vatlib.it/iiif/MSS_Vat.lat.36/manifest.json
54,Vat.lat.37,Biblioteca Vaticana,Vatican,Vatican,,,,,,14th,,14,1301,1400,,,182,129,311,,,,,413,,,,,,,Y,,,https://digi.vatlib.it/iiif/MSS_Vat.lat.37/manifest.json
55,Vat.lat.48,Biblioteca Vaticana,Vatican,Vatican,,,,,,14th,,14,1301,1400,,,,,0,,,,,324,,,,,,,Y,,,https://digi.vatlib.it/iiif/MSS_Vat.lat.48/manifest.json
56,Vat.lat.49,Biblioteca Vaticana,Vatican,Vatican,,,,,,14th,,14,1301,1400,,,,,0,,,,,399,,,,,,,Y,,,https://digi.vatlib.it/iiif/MSS_Vat.lat.49/manifest.json
57,9,Bibliothèque mazarine,Paris,France,,,France,Ile-de-France,Paris,,,13,1250,1275,,,,,0,,,,,,,,2,,,,P,,https://portail.biblissima.fr/fr/ark:/43093/mdata4f64596fb2168644edfa79636f4d9cab56362446,
58,13,Bibliothèque mazarine,Paris,France,,,France,Nord?,Unknown,,,13,1260,1270,,,,,0,,,,,,,,2,,,,P,,https://portail.biblissima.fr/fr/ark:/43093/mdata5324565695c660ca07d32a42df2cf333bef5485b,
59,15,Bibliothèque mazarine,Paris,France,,,France,Ile-de-France,Paris,,,13,ca. 1250,,,,,,0,,,,,,,,2,,,,P,,https://portail.biblissima.fr/fr/ark:/43093/mdata7fcd881d16df9de69c19d2177ba2952a63ef686b,
60,20,Bibliothèque mazarine,Paris,France,,,France,Unknown,Unknown,,,13,ca. 1250,,,,,,0,,,,,,,,2,,,,P,,https://portail.biblissima.fr/fr/ark:/43093/mdata5f7c18f14ed1259d636af13b8d6651cbadedfbe5,
61,21,Bibliothèque mazarine,Paris,France,,,France,Ile-de-France,Paris?,,,13,1270,1280,,,,,0,,,,,,,,2,,,,P,,https://portail.biblissima.fr/fr/ark:/43093/mdataa4ceae12216ecf7d345b4dc28007dc17c4a2124e,
62,24,Bibliothèque mazarine,Paris,France,,,France,Ile-de-France,Paris,,,13,1230,1240,,,,,0,,,,,,,,2,,,,P,,https://portail.biblissima.fr/fr/ark:/43093/mdataf28e0f19a01b12ff9628b6deb44d9315f9a7eb16,
63,27,Bibliothèque mazarine,Paris,France,,,France,Ile-de-France,Paris,,,13,1275,1300,,,,,0,,,,,,,,2,,,,P,,https://portail.biblissima.fr/fr/ark:/43093/mdata156f6e95cb21921445b112b9e5e37c12230ee1f9,
64,39,Bibliothèque mazarine,Paris,France,,,France,Ile-de-France,Paris,,,13,1230,1350,,,,,0,,,,,,,,2,,,,P,,https://portail.biblissima.fr/fr/ark:/43093/mdata80efd81efbaffb612eb44f049e6a4ca9569afa7a,
65,40,Bibliothèque mazarine,Paris,France,,,France,East?,Unknown,,,13,1200,1225,,,,,0,,,,,,,,2,,,,P,,https://portail.biblissima.fr/fr/ark:/43093/mdata15729af8e8c63eb263350b3dcdcc0f563ca58859,
66,72,Bibliothèque mazarine,Paris,France,,,France,Ile-de-France,Paris,,,13,1230,1350,,,,,0,,,,,,,,Varia,,,,P,,https://portail.biblissima.fr/fr/ark:/43093/mdata57275708ab1a478dd1cd903b152d2374d941f9bb,
67,135,Bibliothèque mazarine,Paris,France,,,France,Ile-de-France,Paris,,,13,ca. 1210,ca. 1210,,,,,0,,,,,,,,Varia,,,,P,,https://portail.biblissima.fr/fr/ark:/43093/mdatafb5b903919f002891a6e969dade556f19ff6bc4e,
68,5,Bibliothèque municipale,Boulogne-sur-Mer,France,Paris,,France,Ile-de-France,Paris,1220s,,13,1220,1230,,,462,318,780,,,,,437,,,,,,,P,,https://bvmm.irht.cnrs.fr/consult/consult.php?REPRODUCTION_ID=11885,
69,1,Bibliothèque municipale,Arles,France,France du sud ?,,France,South?,Unknown,1250-1274,,13,1250,1274,,,255,175,430,,,,,,,,2,,,,P,,https://bvmm.irht.cnrs.fr/consult/consult.php?reproductionId=7185,
70,1,Bibliothèque municipale,Nice,France,France du sud-est ?,,France,Sud-Est?,Unknown,,,13,1200,1249,,,176,130,306,,,,,,,,2,,,,P,,https://bvmm.irht.cnrs.fr/consult/consult.php?REPRODUCTION_ID=6415,
71,1,Bibliothèque municipale,Toulouse,France,Italie nord-ouest,,Italy,Liguria,Genoa,1250-1299,,13,1250,1300,,,340,220,560,,,,,,,,2,,,,Y,,https://bvmm.irht.cnrs.fr/consult/consult.php?REPRODUCTION_ID=1427,
72,1,Bibliothèque municipale,Vendôme,France,Paris ?,,France,Ile-de-France?,Paris?,1250-1274,,13,1250,1274,,,320,215,535,,,,,,,,2,,,,P,,https://bvmm.irht.cnrs.fr/consult/consult.php?REPRODUCTION_ID=8643,
73,2,Bibliothèque municipale Edouard Le Héricher,Avranches,France,Paris/Normandie ?,,France,Normandie?,Unknown,1225-1235,,13,1225,1235,,,410,300,710,,,,,,,,2,,,,P,,https://portail.biblissima.fr/fr/ark:/43093/mdataa119580cf73c7978981cd7775ee8a6571e605761,
74,3,Astrolabe-médiathèque et archives,Melun,France,Paris,,France,Ile-de-France,Paris,1250-1274,,13,1250,1274,,,215,148,363,,,,,,,,2,,,,Y,,https://portail.biblissima.fr/fr/ark:/43093/mdata6b679a1857b01c1457894d98f88b9f95224b8221,
75,4,Bibliothèque municipale,Besançon,France,France,,France,Unknown,Unknown,1245-1255,,13,1245,1255,,,242,172,414,,,,,,,,2,,,,P,,https://bvmm.irht.cnrs.fr/consult/consult.php?REPRODUCTION_ID=7663,
76,4,Bibliothèque municipale,Dijon,France,Paris,,France,Ile-de-France,Paris,1230-1240,,13,1230,1240,,,260,175,435,,,,,,,,2,,,,P,,https://bvmm.irht.cnrs.fr/consult/consult.php?REPRODUCTION_ID=7444,
77,5,Bibliothèque de Toulouse,Toulouse,France,France du sud,,France,Sud?,Unknown,1250-1299,,13,1250,1300,,,310,205,515,,,,,,,,2,,,,Y,,https://bvmm.irht.cnrs.fr/consult/consult.php?REPRODUCTION_ID=1439,
78,6,Bibliothèque municipale,Bourges,France,France Paris?,,France,Ile-de-France,Paris?,1310-1320,,14,1310,1320,,,475,350,825,,,,,,,,2,,,,P,,https://bvmm.irht.cnrs.fr/consult/consult.php?REPRODUCTION_ID=7271,
79,6,Bibliothèque municipale,Chambéry,France,France du nord,,France,Ile-de-France,Paris,1245-1255,,13,1245,1255,,,157,100,257,,,,,,,,2,,,,P,,https://bvmm.irht.cnrs.fr/consult/consult.php?REPRODUCTION_ID=12850,
80,7,Bibliothèque municipale,Dijon,France,France du nord,,France,Ile-de-France,Paris,1201-1300,,13,1201,1300,,,,,0,,,,,672,,,2,,,,P,,https://bvmm.irht.cnrs.fr/consult/consult.php?REPRODUCTION_ID=7446,
81,8,Bibliothèque de Toulouse,Toulouse,France,France,,France,Unknown,Unknown,1200-1299,,13,1200,1299,,,,,0,,,,,531,,,2,,,,Y,,https://bvmm.irht.cnrs.fr/consult/consult.php?REPRODUCTION_ID=1440,
82,8,Bibliothèque municipale,Valenciennes,France,France,,France,Unknown,Unknown,1250-1299,,13,1250,1299,,,222,148,370,,,,,394,,,2,,,,P,,https://bvmm.irht.cnrs.fr/consult/consult.php?REPRODUCTION_ID=11376,
83,9,Bibliothèque municipale,Toulouse,France,France,,France,Unknown,Unknown,1250-1299,,13,1250,1299,,,162,?,#VALUE!,,,,,,,,2,,,,P,,https://bvmm.irht.cnrs.fr/consult/consult.php?REPRODUCTION_ID=7867,
