PBP_ID,Inventory,Institution,institution_city,institution_country,library_localisation,country_certainty,country,region,city,library_dating,circa,century,min_date,max_date,scribe,script,workshop/illuminator,mss_height,mss_width,combined_size,Ruzzier_group,justification_height,justification_width,volumes,v1_folios,v2_folios,v3_folios,columns,min_lines,max_lines,citation,digitisation,Downloadable,Catalogue link,IIIF manifest,Comments,team_member,,,,,,,,,,,,,,,,,,
16,CLM 4627,Bayerische Staatsbibliothek,Munich,Germany,France,Y,France,Unknown,Unknown,2nd half 13,,13,1251,1300,,,,0,0,0,unknown,Unknown,Unknown,1,Unknown,,,1,Unknown,Unknown,,F,,https://daten.digitale-sammlungen.de/0010/bsb00105947/images/index.html?id=00105947&groesser=&fip=weayayztssdaseayaxsewqeayaxdsydeaya&no=4&seite=21,,,DJW,,,,,,,,,,,,,,,,,,
17,Beinecke 1100,Beinecke Library Yale,New Haven,United States of America,Italy,Y,Italy,Unknown,Unknown,13th c,,13,1201,1300,,,,190,127,317,1,Unknown,Unknown,1,406,,,2,Unknown,Unknown,,F,,https://brbl-dl.library.yale.edu/vufind/Search/Results?lookfor=%22Beinecke+MS+1100%22&type=CallNumber,,Manuscript Bible with most of the prologues typical of a Paris Bible but with the Interpretationes Hebraicorum nominum following Psaland with punctuation suggesting English origin. Lacking the first leaf of the New Testament (containing Jerome's prologue to the New Testament and Matthew before f. 285). Annotated with references to works of Albertus Magnus the glossa ordinaria and the Sentences of Peter Lombard in a number of hands from the 13th through 15th centuries likely by Dominican owners or readers.,DJW,,,,,,,,,,,,,,,,,,
18,Beinecke 1141,Beinecke Library Yale,New Haven,United States of America,France,Y,France,Unknown,Unknown,1200,,13,1200,1200,,,,259,166,425,2,Unknown,Unknown,1,293,,,2,Unknown,Unknown,,F,,https://brbl-dl.library.yale.edu/vufind/Search/Results?lookfor=%22Beinecke+MS+1141%22&type=CallNumber,,,DJW,,,,,,,,,,,,,,,,,,
19,Beinecke 387,Beinecke Library Yale,New Haven,United States of America,England or Northern France,N,England or France,Unknown,Unknown,ca. 1325,Y,14,1325,1325,,,,285,185,470,2,198,112,1,420,,,2,Unknown,Unknown,,F,,https://brbl-dl.library.yale.edu/vufind/Search/Results?lookfor=%22Beinecke+MS+387%22&type=CallNumber,,,DJW,,,,,,,,,,,,,,,,,,
20,Beinecke 433,Beinecke Library Yale,New Haven,United States of America,Paris,Y,France,Ile-de-France,Paris,ca. 1250,Y,13,1250,1250,,small gothic textura,,185,123,308,1,132,85,1,428,,,2,Unknown,Unknown,,P,,https://brbl-dl.library.yale.edu/vufind/Search/Results?lookfor=%22Beinecke+MS+433%22&type=CallNumber,,,DJW,,,,,,,,,,,,,,,,,,
21,Beinecke 793,Beinecke Library Yale,New Haven,United States of America,France Paris?,Y,France,Ile-de-France,Paris,1200-1299,,13,1201,1300,,,,145,95,240,1,Unknown,Unknown,1,643,,,2,Unknown,Unknown,,F,,https://brbl-dl.library.yale.edu/vufind/Search/Results?lookfor=%22Beinecke+MS+793%22&type=CallNumber,,,DJW,,,,,,,,,,,,,,,,,,
22,Beinecke 81,Beinecke Library Yale,New Haven,United States of America,England,Y,England,Unknown,Unknown,between 1250 and 1300,,13,1251,1300,Single scribe,tiny gothic textura,,185,118,303,1,122,78,1,265,,,2,Unknown,Unknown,,F,,https://brbl-dl.library.yale.edu/vufind/Search/Results?lookfor=%22Beinecke+MS+81%22&type=CallNumber,,,DJW,,,,,,,,,,,,,,,,,,
23,Beinecke 82,Beinecke Library Yale,New Haven,United States of America,France?,N,France,Unknown,Unknown,1200-1250,,13,1201,1250,,,,296,197,493,2,197,139,1,164,,,2,Unknown,Unknown,,F,,https://brbl-dl.library.yale.edu/vufind/Search/Results?lookfor=%22Beinecke+MS+82%22&type=CallNumber,,,DJW,,,,,,,,,,,,,,,,,,
24,Takamiya 104,Beinecke Library Yale,New Haven,United States of America,England,Y,England,Unknown,Unknown,1200-1299,,13,1201,1300,,small gothic script,,212,145,357,1,Unknown,Unknown,1,Unknown,,,2,49,49,,F,,https://brbl-dl.library.yale.edu/vufind/Search/Results?lookfor=%22Takamiya+MS+104%22&type=CallNumber,https://collections.library.yale.edu/manifests/16371272,Fully digitised,DJW,,,,,,,,,,,,,,,,,,
25,27/28,Bern Burgerbibliothek,Bern,Switzerland,southern France,Y,France,South,Unknown,2nd half 13,,13,1251,1300,,,,385,265,650,3,Unknown,Unknown,2,Unknown,,,2,Unknown,Unknown,,F,,https://www.e-codices.ch/en/list/one/bbb/0027,https://www.e-codices.ch/metadata/iiif/bbb-0027/manifest.json,,DJW,,,,,,,,,,,,,,,,,,
26,Reg.lat.16,Biblioteca Vaticana,Vatican,Vatican,France?,N,France,Unknown,Unknown,1276-1300,,13,1276,1300,,,,0,0,0,unknown,Unknown,Unknown,1,499,,,2,Unknown,Unknown,,F,,,https://digi.vatlib.it/iiif/MSS_Reg.lat.16/manifest.json,,,,,,,,,,,,,,,,,,,,
27,Reg.lat.3,Biblioteca Vaticana,Vatican,Vatican,France?,N,France,Unknown,Unknown,1276-1300,,13,1276,1300,,,,180,120,300,1,Unknown,Unknown,1,627,,,2,Unknown,Unknown,,F,,,https://digi.vatlib.it/iiif/MSS_Reg.lat.3/manifest.json,,DJW,,,,,,,,,,,,,,,,,,
28,Ross.314,Biblioteca Vaticana,Vatican,Vatican,Northern? France,Y,France,North,Unknown,1226-1275,,13,1226,1275,,,,176,116,292,1,Unknown,Unknown,1,534,,,2,Unknown,Unknown,,F,,,https://digi.vatlib.it/iiif/MSS_Ross.314/manifest.json,,DJW,,,,,,,,,,,,,,,,,,
29,Urb.lat.587,Biblioteca Vaticana,Vatican,Vatican,Unknown,N,Unknown,Unknown,Unknown,1276-1325,,13,1276,1325,,,,0,0,0,unknown,Unknown,Unknown,1,537,,,2,Unknown,Unknown,,F,,https://digi.vatlib.it/mss/detail/Urb.lat.587,https://digi.vatlib.it/iiif/MSS_Urb.lat.587/manifest.json,,DJW,,,,,,,,,,,,,,,,,,
30,Urb.lat.588,Biblioteca Vaticana,Vatican,Vatican,Unknown,N,Unknown,Unknown,Unknown,1276-1325,,13,1276,1325,,,,0,0,0,unknown,Unknown,Unknown,1,369,,,2,Unknown,Unknown,,F,,https://digi.vatlib.it/mss/detail/Urb.lat.588,https://digi.vatlib.it/iiif/MSS_Urb.lat.588/manifest.json,,DJW,,,,,,,,,,,,,,,,,,
31,Urb.lat.597,Biblioteca Vaticana,Vatican,Vatican,Unknown,N,Unknown,Unknown,Unknown,14th,,14,1301,1400,,,,0,0,0,unknown,Unknown,Unknown,1,863,,,2,Unknown,Unknown,,F,,https://digi.vatlib.it/mss/detail/Urb.lat.597,https://digi.vatlib.it/iiif/MSS_Urb.lat.597/manifest.json,,DJW,,,,,,,,,,,,,,,,,,
32,Urb.lat.7,Biblioteca Vaticana,Vatican,Vatican,Unknown,N,Unknown,Unknown,Unknown,14th c,,14,1301,1400,,,,0,0,0,unknown,Unknown,Unknown,1,453,,,2,Unknown,Unknown,,F,,https://digi.vatlib.it/mss/detail/Urb.lat.7,https://digi.vatlib.it/iiif/MSS_Urb.lat.7/manifest.json,,DJW,,,,,,,,,,,,,,,,,,
33,Vat Lat 28,Biblioteca Vaticana,Vatican,Vatican,Italy (?),N,Italy,Unknown,Unknown,XII-XIV,,12/13/14,1101,1400,,,,196,134,330,1,Unknown,Unknown,1,578,,,2,Unknown,Unknown,Miriello 2004,F,,https://digi.vatlib.it/iiif/MSS_Vat.lat.28/manifest.json,,,DJW,,,,,,,,,,,,,,,,,,
34,Vat Lat 47,Biblioteca Vaticana,Vatican,Vatican,Italy (?),N,Italy,Unknown,Unknown,XII-XIV,,12/13/14,1101,1400,,,,182,129,311,1,Unknown,Unknown,1,413,,,2,Unknown,Unknown,Miriello 2004,F,,http://www.mss.vatlib.it/gui/console?service=shortDetail&id=204543,,,DJW,,,,,,,,,,,,,,,,,,
35,Vat.lat.1,Biblioteca Vaticana,Vatican,Vatican,Unknown,N,Unknown,Unknown,Unknown,1454,,15,1454,1454,,,,0,0,0,unknown,Unknown,Unknown,1,Unknown,,,2,Unknown,Unknown,,F,,,https://digi.vatlib.it/iiif/MSS_Vat.lat.1/manifest.json,,DJW,,,,,,,,,,,,,,,,,,
36,Vat.lat.17,Biblioteca Vaticana,Vatican,Vatican,Unknown,N,Unknown,Unknown,Unknown,14th,,14,1301,1400,,,,0,0,0,unknown,Unknown,Unknown,1,Unknown,,,2,Unknown,Unknown,,F,,,https://digi.vatlib.it/iiif/MSS_Vat.lat.17/manifest.json,,DJW,,,,,,,,,,,,,,,,,,
37,Vat.lat.18,Biblioteca Vaticana,Vatican,Vatican,Unknown,N,Unknown,Unknown,Unknown,14th,,14,1301,1400,,,,0,0,0,unknown,Unknown,Unknown,1,Unknown,,,2,Unknown,Unknown,,F,,,https://digi.vatlib.it/iiif/MSS_Vat.lat.18/manifest.json,3r 16v 147v 153v 157r 158v 166 279v,DJW,,,,,,,,,,,,,,,,,,
38,Vat.lat.19,Biblioteca Vaticana,Vatican,Vatican,Unknown,N,Unknown,Unknown,Unknown,14th,,14,1301,1400,,,,0,0,0,unknown,Unknown,Unknown,1,Unknown,,,2,Unknown,Unknown,,F,,,https://digi.vatlib.it/iiif/MSS_Vat.lat.19/manifest.json,,EGE,,,,,,,,,,,,,,,,,,
39,Vat.lat.20,Biblioteca Vaticana,Vatican,Vatican,Unknown,N,Unknown,Unknown,Unknown,1401-1450,,15,1401,1450,,,,434,280,714,3,Unknown,Unknown,1,421,,,2,Unknown,Unknown,,F,,https://digi.vatlib.it/mss/detail/Vat.lat.20,https://digi.vatlib.it/iiif/MSS_Vat.lat.20/manifest.json,,DJW,,,,,,,,,,,,,,,,,,
40,Vat.lat.21,Biblioteca Vaticana,Vatican,Vatican,Unknown,N,Unknown,Unknown,Unknown,1276-1325,,13,1276,1325,,,,307,209,516,2,Unknown,Unknown,1,450,,,2,Unknown,Unknown,,F,,https://digi.vatlib.it/mss/detail/Vat.lat.21,https://digi.vatlib.it/iiif/MSS_Vat.lat.21/manifest.json,,DJW,,,,,,,,,,,,,,,,,,
