PBP_ID,Inventory,Institution,institution_city,institution_country,library_localisation,country_certainty,country,region,city,library_dating,circa,century,min_date,max_date,scribe,script,workshop/illuminator,mss_height,mss_width,combined_size,Ruzzier_group,justification_height,justification_width,volumes,v1_folios,v2_folios,v3_folios,columns,min_lines,max_lines,citation,digitisation,Downloadable,Catalogue link,IIIF manifest,Comments,team_member,,,,,,,,,,,,,,,,,,
70,1,Bibliotheque municipale,Nice,France,France du sud-est ? ,Y,France,Sud-Est?,Unknown,,,13,1201,1250,,,,176,130,306,1,Unknown,Unknown,1,Unknown,,,2,Unknown,Unknown,,P,,https://bvmm.irht.cnrs.fr/consult/consult.php?REPRODUCTION_ID=6415,,,DJW,,,,,,,,,,,,,,,,,,
71,1,Bibliotheque municipale,Toulouse,France,Italie nord-ouest,Y,Italy,Liguria,Genoa,1250-1299,,13,1251,1300,,,,340,220,560,3,Unknown,Unknown,1,Unknown,,,2,Unknown,Unknown,,F,,https://bvmm.irht.cnrs.fr/consult/consult.php?REPRODUCTION_ID=1427,,,DJW,,,,,,,,,,,,,,,,,,
72,1,Bibliotheque municipale,Vendome,France,Paris ?,Y,France,Ile-de-France?,Paris?,1250-1274,,13,1251,1275,,,,320,215,535,2,Unknown,Unknown,1,Unknown,,,2,Unknown,Unknown,,P,,https://bvmm.irht.cnrs.fr/consult/consult.php?REPRODUCTION_ID=8643,,,,,,,,,,,,,,,,,,,,,
73,2,Bibliotheque municipale Edouard Le Hericher,Avranches,France,Paris/Normandie ?,Y,France,Normandie?,Unknown,1225-1235,,13,1226,1235,,,,410,300,710,3,Unknown,Unknown,1,Unknown,,,2,Unknown,Unknown,,P,,https://portail.biblissima.fr/fr/ark:/43093/mdataa119580cf73c7978981cd7775ee8a6571e605761,,,DJW,,,,,,,,,,,,,,,,,,
74,3,Astrolabe-mediatheque et archives,Melun,France,Paris,Y,France,Ile-de-France,Paris,1250-1274,,13,1251,1275,,,,215,148,363,1,Unknown,Unknown,1,Unknown,,,2,Unknown,Unknown,,F,,https://portail.biblissima.fr/fr/ark:/43093/mdata6b679a1857b01c1457894d98f88b9f95224b8221,,,DJW,,,,,,,,,,,,,,,,,,
75,4,Bibliotheque municipale,Besancon,France,France,Y,France,Unknown,Unknown,1245-1255,,13,1245,1255,,,,242,172,414,2,Unknown,Unknown,1,Unknown,,,2,Unknown,Unknown,,P,,https://bvmm.irht.cnrs.fr/consult/consult.php?REPRODUCTION_ID=7663,,,DJW,,,,,,,,,,,,,,,,,,
76,4,Bibliotheque municipale,Dijon,France,Paris,Y,France,Ile-de-France,Paris,1230-1240,,13,1230,1240,,,,260,175,435,2,Unknown,Unknown,1,Unknown,,,2,Unknown,Unknown,,P,,https://bvmm.irht.cnrs.fr/consult/consult.php?REPRODUCTION_ID=7444,,,DJW,,,,,,,,,,,,,,,,,,
77,5,Bibliotheque municipale,Toulouse,France,France du sud,Y,France,Sud?,Unknown,1250-1299,,13,1251,1300,,,,310,205,515,2,Unknown,Unknown,1,Unknown,,,2,Unknown,Unknown,,F,,https://bvmm.irht.cnrs.fr/consult/consult.php?REPRODUCTION_ID=1439,,,DJW,,,,,,,,,,,,,,,,,,
78,6,Bibliotheque municipale,Bourges,France,France Paris?,Y,France,Ile-de-France,Paris?,1310-1320,,14,1310,1320,,,,475,350,825,3,Unknown,Unknown,1,Unknown,,,2,Unknown,Unknown,,P,,https://bvmm.irht.cnrs.fr/consult/consult.php?REPRODUCTION_ID=7271,,,DJW,,,,,,,,,,,,,,,,,,
79,6,Bibliotheque municipale,Chambery,France,France du nord,Y,France,Ile-de-France,Paris,1245-1255,,13,1245,1255,,,,157,100,257,1,Unknown,Unknown,1,Unknown,,,2,Unknown,Unknown,,P,,https://bvmm.irht.cnrs.fr/consult/consult.php?REPRODUCTION_ID=12850,,,DJW,,,,,,,,,,,,,,,,,,
80,7,Bibliotheque municipale,Dijon,France,France du nord,Y,France,Ile-de-France,Paris,1201-1300,,13,1201,1300,,,,0,0,0,unknown,Unknown,Unknown,1,672,,,2,Unknown,Unknown,,P,,https://bvmm.irht.cnrs.fr/consult/consult.php?REPRODUCTION_ID=7446,,,DJW,,,,,,,,,,,,,,,,,,
81,8,Bibliotheque municipale,Toulouse,France,France,Y,France,Unknown,Unknown,1200-1299,,13,1201,1300,,,,0,0,0,unknown,Unknown,Unknown,1,531,,,2,Unknown,Unknown,,F,,https://bvmm.irht.cnrs.fr/consult/consult.php?REPRODUCTION_ID=1440,,,DJW,,,,,,,,,,,,,,,,,,
82,8,Bibliotheque municipale,Valenciennes,France,France,Y,France,Unknown,Unknown,1250-1299,,13,1251,1300,,,,222,148,370,1,Unknown,Unknown,1,394,,,2,Unknown,Unknown,,P,,https://bvmm.irht.cnrs.fr/consult/consult.php?REPRODUCTION_ID=11376,,,DJW,,,,,,,,,,,,,,,,,,
83,9,Bibliotheque municipale,Toulouse,France,France,Y,France,Unknown,Unknown,1250-1299,,13,1251,1300,,,,162,0,162,1,Unknown,Unknown,1,Unknown,,,2,Unknown,Unknown,,P,,https://bvmm.irht.cnrs.fr/consult/consult.php?REPRODUCTION_ID=7867,,no Psalms,DJW,,,,,,,,,,,,,,,,,,
84,10,Bibliotheque municipale,Douai,France,France du nord/ Douai?,Y,France,Nord?,Douai?,1233-1265,,13,1235,1265,,,,150,100,250,1,Unknown,Unknown,1,674,,,2,Unknown,Unknown,,P,,https://bvmm.irht.cnrs.fr/mirador/index.php?manifest=https://bvmm.irht.cnrs.fr/iiif/27011/manifest,https://bvmm.irht.cnrs.fr/iiif/27011/manifest,fols. 101r 200v 201r 247v 276r 449r,DJW,,,,,,,,,,,,,,,,,,
85,11,Bibliotheque municipale,Toulouse,France,France,Y,France,Unknown,Unknown,1250-1299,,13,1251,1300,,,,230,145,375,1,Unknown,Unknown,1,497,,,2,Unknown,Unknown,,F,,https://bvmm.irht.cnrs.fr/consult/consult.php?REPRODUCTION_ID=1441,,,DJW,,,,,,,,,,,,,,,,,,
86,13MS/P/3,Mediatheque,Dole,France,Unknown,N,Unknown,Unknown,Unknown,13e s.,,13,1201,1300,,,,151,104,255,1,Unknown,Unknown,1,443,,,2,Unknown,Unknown,,P,,https://bvmm.irht.cnrs.fr/consult/consult.php?REPRODUCTION_ID=8573,,,DJW,,,,,,,,,,,,,,,,,,
87,17,Bibliotheque municipale,Douai,France,France du nord?,Y,France,Ile-de-France? Nord?,Paris? Amiens?,1220-1230,,13,1220,1230,,,,475,300,775,3,Unknown,Unknown,1,Unknown,,,2,Unknown,Unknown,,F,,https://bvmm.irht.cnrs.fr/mirador/index.php?manifest=https://bvmm.irht.cnrs.fr/iiif/23219/manifest,https://bvmm.irht.cnrs.fr/iiif/23219/manifest,Several tomes: 2 https://portail.biblissima.fr/fr/ark:/43093/mdata66ae7738519d13d6fd2e7349f470159bed62d763 3 https://portail.biblissima.fr/fr/ark:/43093/mdata07bc12b3038da67cd64624205aecd5c5e06d6354 4  https://portail.biblissima.fr/fr/ark:/43093/mdataf3c8e463543b74d6a915fc54467200fd876d3c9e 5 https://portail.biblissima.fr/fr/ark:/43093/mdatae23be5bab1b4386af951b47de42439e3620e98b2 6 https://portail.biblissima.fr/fr/ark:/43093/mdatafc8e28c4916ab70b3589492936cd1a90ab4efce4  7  https://portail.biblissima.fr/fr/ark:/43093/mdataf17f524c8d5069b0ad70b1cbe0bf8dbab4b76175  8 https://portail.biblissima.fr/fr/ark:/43093/mdata8a78debe7d738798db332233c51a2041fd54e273  9 https://portail.biblissima.fr/fr/ark:/43093/mdatae3ec0eb844ffae0fa1ef684c1a2ddbc8110aca50  10 https://portail.biblissima.fr/fr/ark:/43093/mdatab3990f3286e68b1c67e11dff8de721466a122644 11 https://portail.biblissima.fr/fr/ark:/43093/mdata97fb7ade47cfbef80d00cff3c041275155fbe09d,DJW,,,,,,,,,,,,,,,,,,
88,21,Bibliotheque du patrimoine,Clermont-Ferrand,France,France,Y,France,Unknown,Unknown,1200-1299,,13,1201,1300,,,,188,125,313,1,Unknown,Unknown,1,593,,,2,Unknown,Unknown,,F,,https://www.bibliotheques-clermontmetropole.eu/overnia/view.php?id=/media-dam/CLERCO/biblioth/PDF/bible_MS21.pdf,,,DJW,,,,,,,,,,,,,,,,,,
89,23,Bibliotheque d'Amiens Metropole,Amiens,France,Picardie?,Y,France,Picardie?,Corbie?,1200-1224,,13,1201,1225,,,,490,335,825,3,Unknown,Unknown,1,308,,,2,Unknown,Unknown,,F,,https://bvmm.irht.cnrs.fr/consult/consult.php?REPRODUCTION_ID=18297,https://bvmm.irht.cnrs.fr/iiif/25810/manifest,ex Warsaw,DJW,,,,,,,,,,,,,,,,,,
90,23,Bibliotheque municipale Gaspard Monge,Beaune,France,Paris ?,Y,France,Ile-de-France,Paris,1270-1285,,13,1270,1285,,,,310,208,518,2,Unknown,Unknown,1,460,,,2,Unknown,Unknown,,F,,https://bvmm.irht.cnrs.fr/mirador/index.php?manifest=https://bvmm.irht.cnrs.fr/iiif/23059/manifest,https://bvmm.irht.cnrs.fr/iiif/23059/manifest,,DJW,,,,,,,,,,,,,,,,,,
91,35,Bibliotheque municipale,Reims,France,Paris ?,Y,France,Ile-de-France?,Paris?,1215-1225,,13,1215,1225,,,,500,350,850,3,Unknown,Unknown,1,276,,,2,Unknown,Unknown,,F,,https://bvmm.irht.cnrs.fr/consult/consult.php?REPRODUCTION_ID=1661,,,DJW,,,,,,,,,,,,,,,,,,
92,40,Bibliotheque municipale,Reims,France,France est,Y,France,Champagne,Reims?,1300-1310,,14,1301,1310,,,,520,375,895,3,Unknown,Unknown,1,245,,,2,Unknown,Unknown,,F,,https://bvmm.irht.cnrs.fr/consult/consult.php?REPRODUCTION_ID=1665,,,DJW,,,,,,,,,,,,,,,,,,
93,43,Bibliotheque municipale,Reims,France,France,Y,France,Unknown,Unknown,1300-1399,,14,1301,1400,,,,400,290,690,3,Unknown,Unknown,1,364,,,2,Unknown,Unknown,,F,,https://bvmm.irht.cnrs.fr/consult/consult.php?REPRODUCTION_ID=1670,,,DJW,,,,,,,,,,,,,,,,,,
94,107,Bibliotheque municipale,Charleville-Meziere,France,France nord,Y,France,North,Unknown,1245-1255,,13,1245,1255,,,,0,0,0,unknown,Unknown,Unknown,1,482,,,2,Unknown,Unknown,,F,,https://bvmm.irht.cnrs.fr/consult/consult.php?REPRODUCTION_ID=18096,https://bvmm.irht.cnrs.fr/iiif/6458/manifest,,DJW,,,,,,,,,,,,,,,,,,
95,197,Bibliotheque municipale,Autun,France,Italie nord-ouest,Y,Italy,Veneto,Padoue? Venise?,1250-1299,,13,1251,1300,,,,238,165,403,2,Unknown,Unknown,1,484,,,2,Unknown,Unknown,,F,,https://bvmm.irht.cnrs.fr/mirador/index.php?manifest=https://bvmm.irht.cnrs.fr/iiif/22773/manifest,https://bvmm.irht.cnrs.fr/iiif/20833/manifest,,DJW,,,,,,,,,,,,,,,,,,
96,262,Mediatheque Louis Aragon,Le Mans,France,Paris ?,Y,France,Ile-de-France,Paris,1250-1270,,13,1251,1270,,,,512,355,867,3,Unknown,Unknown,1,356,,,2,Unknown,Unknown,,F,,https://bvmm.irht.cnrs.fr/consult/consult.php?REPRODUCTION_ID=3112,https://bvmm.irht.cnrs.fr/iiif/16928/manifest,,DJW,,,,,,,,,,,,,,,,,,
97,577,Mediatheque du Grand Troyes,Troyes,France,Paris,Y,France,Ile-de-France,Paris,1220-1226,,13,1220,1226,,,,324,220,544,2,Unknown,Unknown,1,325,,,2,Unknown,Unknown,,P,,https://bvmm.irht.cnrs.fr/mirador/index.php?manifest=https://bvmm.irht.cnrs.fr/iiif/30938/manifest,https://bvmm.irht.cnrs.fr/iiif/30938/manifest,,DJW,,,,,,,,,,,,,,,,,,
98,S 169 (146a),Bibliotheque municipale,Autun,France,France du nord (Paris) ,Y,France,Ile-de-France,Paris,1270-1285 (vers 1270-1280),,13,1270,1280,,,,320,210,530,2,Unknown,Unknown,1,559,,,2,Unknown,Unknown,,F,,https://portail.biblissima.fr/fr/ark:/43093/mdata79d35647d8a193aed4bdba457b02953c18c3f110,https://bvmm.irht.cnrs.fr/iiif/20799/manifest,fully digitized,DJW,,,,,,,,,,,,,,,,,,
99,14,Bibliotheque sainte Genevieve,Paris,France,Italie du sud,Y,Italy,South,Unknown,13e s. (troisieme quart),,13,1251,1275,,,,338,230,568,3,Unknown,Unknown,1,542,,,2,Unknown,Unknown,,P,,https://bvmm.irht.cnrs.fr//consult/consult.php?reproductionId=13137,,digitized through Exodus,DJW,,,,,,,,,,,,,,,,,,
100,1180,Bibliotheque sainte Genevieve,Paris,France,France du nord (Paris),Y,France,Ile-de-France,Paris,vers 1225-1235,,13,1226,1235,,,Bible moralisee de Vienne workshop,221,150,371,1,Unknown,Unknown,1,378,,,2,Unknown,Unknown,,P,,https://bvmm.irht.cnrs.fr/consult/consult.php?reproductionId=13349,,,EGE,,,,,,,,,,,,,,,,,,
101,Arsenal 590,Bibliotheque de l'Arsenal,Paris,France,Paris,Y,France,Ile-de-France,Paris,XIVe siecle (vers 1300),Y,14,1300,1300,,Ecriture du XIVe siecle,,294,206,500,2,Unknown,Unknown,1,583,,,2,Unknown,Unknown,,F,Y,https://archivesetmanuscrits.bnf.fr/ark:/12148/cc79795c,https://gallica.bnf.fr/view3if/ga/ark:/12148/btv1b84581342,F. 583vo : « Iste liber est monasterii Beate Marie de Parisius ordinis Celestinorum. » Chez les Celestins ce manuscrit etait cote 6 : voir fol. B et 527v.,NAC,,,,,,,,,,,,,,,,,,
102,Latin 10421,Bibliotheque nationale de France site Richelieu,Paris,France,Unknown,Y,Unknown,Unknown,Unknown,13th century,,13,1201,1300,Unknown,,,230,155,385,2,Unknown,Unknown,1,658,,,2,Unknown,Unknown,,F,,http://gallica.bnf.fr/ark:/12148/btv1b550130861,,fully digitized,NAC,,,,,,,,,,,,,,,,,,
103,Latin 10422,Bibliotheque nationale de France site Richelieu,Paris,France,Unknown,Y,Unknown,Unknown,Unknown,13th century,,13,1201,1300,Unknown,,,115,90,205,1,Unknown,Unknown,1,576,,,2,Unknown,Unknown,,F,,https://archivesetmanuscrits.bnf.fr/ark:/12148/cc72143v,,,DJW,,,,,,,,,,,,,,,,,,
104,Latin 10425,Bibliotheque nationale de France site Richelieu,Paris,France,Unknown,Y,Unknown,Unknown,Unknown,13th century,,13,1201,1300,Unknown,,,140,105,245,1,Unknown,Unknown,1,593,,,2,Unknown,Unknown,,P,,http://gallica.bnf.fr/ark:/12148/btv1b55013496z,,partially,DJW,,,,,,,,,,,,,,,,,,
105,Latin 10426,Bibliotheque nationale de France site Richelieu,Paris,France,Paris,Y,France,Ile-de-France,Paris,XIIIe s. (troisieme quart vers 1270),,13,1270,1270,,Ecriture gothique.,Auribafer workshop,155,100,255,1,100,65,1,694,,,2,Unknown,Unknown,,F,Y,https://archivesetmanuscrits.bnf.fr/ark:/12148/cc785513,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447291v/manifest.json,,DJW,,,,,,,,,,,,,,,,,,
106,Latin 10428,Bibliotheque nationale de France site Richelieu,Paris,France,Italy?,N,Italy,Unknown,Unknown,13th century,,13,1201,1300,Unknown,,,230,160,390,2,Unknown,Unknown,1,381,,,2,Unknown,Unknown,,F,Y,https://gallica.bnf.fr/ark:/12148/btv1b52506323q.r=10428%20latin?rk=21459;2,https://gallica.bnf.fr/iiif/ark:/12148/btv1b52506323q/manifest.json,Fully digitized,DJW,,,,,,,,,,,,,,,,,,
107,Latin 11,Bibliotheque nationale de France site Richelieu,Paris,France,Unknown,N,France,Unknown,Unknown,End of 12th century - 13th century,Y,13,1181,1300,Unknown,,,425,300,725,3,Unknown,Unknown,1,300,,,2,Unknown,Unknown,,F,Y,https://archivesetmanuscrits.bnf.fr/ark:/12148/cc59021j,https://gallica.bnf.fr/view3if/ga/ark:/12148/btv1b8455938j,Fully digitized,DJW,,,,,,,,,,,,,,,,,,
108,Latin 11534,Bibliotheque nationale de France site Richelieu,Paris,France,Unknown,Y,Unknown,Unknown,Unknown,End of 12th century,,12,1181,1200,Unknown,,,465,355,820,3,Unknown,Unknown,2,548,,,2,Unknown,Unknown,,F,,http://gallica.bnf.fr/ark:/12148/btv1b10022500v,,Fully digitized,DJW,,,,,,,,,,,,,,,,,,
109,Latin 11535,Bibliotheque nationale de France site Richelieu,Paris,France,Unknown,Y,Unknown,Unknown,Unknown,End of 12th century,,12,1181,1200,Unknown,,,470,335,805,3,Unknown,Unknown,2,345,,,2,Unknown,Unknown,,F,,http://gallica.bnf.fr/ark:/12148/btv1b100224997,,Fully digitized,DJW,,,,,,,,,,,,,,,,,,
110,Latin 11935,Bibliotheque nationale de France site Richelieu,Paris,France,Paris,Y,France,Ile-de-France,Paris,1317-1337,,14,1317,1337,Robert de Billyng,,,0,0,0,unknown,Unknown,Unknown,1,705,,,2,Unknown,Unknown,,F,,https://gallica.bnf.fr/ark:/12148/btv1b105097447,https://iiif.biblissima.fr/collections/manifest/76896e4048221548c97d56c558f2f9dffaeb48a7?tify={%22view%22:%22info%22},Fully digitized,DJW,,,,,,,,,,,,,,,,,,
111,Latin 17198,Bibliotheque nationale de France site Richelieu,Paris,France,France Paris,N,France,Ile-de-France,Paris,1240-1260,,13,1240,1260,,,,0,0,0,unknown,Unknown,Unknown,1,Unknown,,,2,Unknown,Unknown,,F,Y,https://archivesetmanuscrits.bnf.fr/ark:/12148/cc68405r,https://gallica.bnf.fr/view3if/ga/ark:/12148/btv1b90766235,,DJW,,,,,,,,,,,,,,,,,,
112,RB IBIS II/1029,Real Biblioteca del Palacio Real de Madrid,Madrid,Spain,Unknown,N,Unknown,Unknown,Unknown,s. XIV,,14,1301,1400,,,,172,127,299,1,135,85,1,456,,,2,47,50,,F,N,https://rbdigital.realbiblioteca.es/s/realbiblioteca/item/2382,,,DJW,,,,,,,,,,,,,,,,,,
113,463,Cambridge Corpus Christi College,Cambridge,United Kingdom,North France?,N,France,North,Unknown,[ca. 1275 - 1299],,13,1276,1300,,,,173,117,290,1,Unknown,Unknown,1,599,,,2,Unknown,Unknown,,F,,https://parker.stanford.edu/parker/catalog/pq574zw4714,,,,,,,,,,,,,,,,,,,,,
114,Latin 18,Bibliotheque nationale de France site Richelieu,Paris,France,Ecole bolonaise.,Y,Italy,Emilia-Romagna,Bologna,Fin du XIII e -XIV e siecle,,13/14,1281,1400,,,,455,280,735,3,Unknown,Unknown,1,464,,,2/3,Unknown,Unknown,,F,Y,https://archivesetmanuscrits.bnf.fr/ark:/12148/cc59766s,https://gallica.bnf.fr/view3if/ga/ark:/12148/btv1b6000540x,,DJW,,,,,,,,,,,,,,,,,,
115,Latin 23,Bibliotheque nationale de France site Richelieu,Paris,France,Unknown,Y,Unknown,Unknown,Unknown,13th century,,13,1201,1300,Unknown,,,395,270,665,3,Unknown,Unknown,1,477,,,2 and 3,Unknown,Unknown,,F,,https://gallica.bnf.fr/ark:/12148/btv1b105110550,https://gallica.bnf.fr/iiif/ark:/12148/btv1b105110550/manifest.json,Fully digitized,DJW,,,,,,,,,,,,,,,,,,
116,Latin 248,Bibliotheque nationale de France site Richelieu,Paris,France,Paris,Y,France,Ile-de-France,Paris,XIVe siecle (debut vers 1310),,14,1310,1310,"2 hands
Addition d'une autre main au vol. I f. 540v-544v.",Ecriture gothique,Les initiales historiees des deux volumes du manuscrit sont à rattacher à l’activite de l’atelier de la Vie de saint Denis (BnF ms. Francais 2090 et 2092) : les deux manuscrits presentent bien des points communs dans la conception des figures drapes et coloris. La decoration est tres proche aussi de deux autres exemplaires executes par le même atelier : un graduel de la Sainte-Chapelle (BnF ms. Latin 1337) et les Heures de Blanche de France (New York Public Library ms. Spencer 56).,190,125,315,1,120,85,2,545,529,,2,32,32,,F,Y,https://archivesetmanuscrits.bnf.fr/ark:/12148/cc90778n,,,DJW,,,,,,,,,,,,,,,,,,
117,Latin 30,Bibliotheque nationale de France site Richelieu,Paris,France,Espagne Catalogne,Y,Spain,Catalogna,Unknown,Fin du XIII e -XIV e siecle,,13,1281,1400,,,,325,225,550,2,Unknown,Unknown,1,459,,,2/3,Unknown,Unknown,,F,Y,https://archivesetmanuscrits.bnf.fr/ark:/12148/cc60834q,https://gallica.bnf.fr/view3if/ga/ark:/12148/btv1b10033390g,,DJW,,,,,,,,,,,,,,,,,,
118,Latin 40,Bibliotheque nationale de France site Richelieu,Paris,France,South of Italy?,Y,Italy,South,Unknown,End of 13th century - 14th century,,13/14,1281,1400,,,Maître de la Bible de Manfred?,255,180,435,2,Unknown,Unknown,1,463,,,2,Unknown,Unknown,,F,,https://gallica.bnf.fr/ark:/12148/btv1b8455927r/f1.item,,Fully digitized,DJW,,,,,,,,,,,,,,,,,,
119,Latin 91,Bibliotheque nationale de France site Richelieu,Paris,France,France Avignon,Y,France,Vaucluse,Avignon,Fin du XIV e -XV e siecle,,14,1381,1500,Albertus,Grosse ecriture provencale,,345,225,570,3,Unknown,Unknown,5,422,,,2,Unknown,Unknown,,F,Y,https://archivesetmanuscrits.bnf.fr/ark:/12148/cc624705,https://gallica.bnf.fr/view3if/ga/ark:/12148/btv1b10038621w,"F. 422v. Deux vers donnant le nom du copiste : « Qui me scribebat Albertus nomen habebat | Australis vere quem respice nate Marie ». 
Les autres parties de cette Bible constituent les mss. Latin 61 87 139 et 255.",DJW,,,,,,,,,,,,,,,,,,
120,NAL 3102,Bibliotheque nationale de France site Richelieu,Paris,France,Paris,Y,France,Ile-de-France,Paris,ca. 1350,Y,14,1350,1350,,,,0,0,0,unknown,Unknown,Unknown,1,Unknown,,,2,Unknown,Unknown,,F,,https://gallica.bnf.fr/ark:/12148/btv1b100324820,https://iiif.biblissima.fr/collections/manifest/ddb43209ce713681cb019bb2d0ceab5b08a63d82?tify={%22panX%22:0.5%22panY%22:0.378%22view%22:%22info%22%22zoom%22:1.341},Fully digitized,DJW,,,,,,,,,,,,,,,,,,
121,Smith-Lesouëf 19,Bibliotheque nationale de France site Richelieu,Paris,France,Cambrai or Tournai France,Y,France,Nord,Cambrai or Tournai,End of 13th century,,13,1281,1300,Arnulphus de Camphaing,,,144,102,246,1,110,66,1,570,,,2,Unknown,Unknown,,F,,https://gallica.bnf.fr/ark:/12148/btv1b105326396,https://gallica.bnf.fr/view3if/ga/ark:/12148/btv1b105326396,Fully digitized,NAC,,,,,,,,,,,,,,,,,,
122,Auct. D. 3. 5,Bodleian Library,Oxford,United Kingdom,Oxford England,Y,England,Oxfordshire,Oxford,mid 13th,,13,1251,1300,,,,0,0,0,unknown,Unknown,Unknown,1,18,,,2,Unknown,Unknown,,P,,https://digital.bodleian.ox.ac.uk/objects/eadd6d56-b068-4976-8188-8ba393da19bf/,https://iiif.bodleian.ox.ac.uk/iiif/manifest/eadd6d56-b068-4976-8188-8ba393da19bf.json,Partially digitised,DJW,,,,,,,,,,,,,,,,,,
123,Auct. D. 4. 8,Bodleian Library,Oxford,United Kingdom,England,Y,England,Unknown,Unknown,c.1240-1250,Y,13,1240,1250,,,,208,140,348,1,177,92,1,Unknown,,,2,Unknown,Unknown,,P,,https://digital.bodleian.ox.ac.uk/objects/57aa316c-7248-4d2e-bab5-2f4ed3fc8bac/,https://iiif.bodleian.ox.ac.uk/iiif/manifest/57aa316c-7248-4d2e-bab5-2f4ed3fc8bac.json,Partially digitised,DJW,,,,,,,,,,,,,,,,,,
124,Canon. Bibl. Lat. 57,Bodleian Library,Oxford,United Kingdom,Bologna Italy,Y,Italy,Emilia-Romagna,Bologna,end 13th,,13,1281,1300,,,,0,0,0,unknown,Unknown,Unknown,1,20,,,2,Unknown,Unknown,,P,,,https://iiif.bodleian.ox.ac.uk/iiif/viewer/78157766-4689-491d-bd3e-ecfd01eb4c30#?c=0&m=0&s=0&cv=137&r=0&xywh=-2686%2C-1%2C8129%2C4155,,NAC,,,,,,,,,,,,,,,,,,
125,MS. Lat. bib. e. 7,Bodleian Library,Oxford,United Kingdom,England Oxford,Y,England,Oxfordshire,Oxford,13th century second quarter,,13,1201,1300,,,William de Brailes,0,0,0,unknown,Unknown,Unknown,1,Unknown,,,2,Unknown,Unknown,,P,,https://digital.bodleian.ox.ac.uk/objects/f667786c-b5b4-4d25-b2c9-b70488a79be2/,,,DJW,,,,,,,,,,,,,,,,,,
126,Laud Misc. 752,Bodleian Library,Oxford,United Kingdom,England,Y,England,Unknown,Unknown,13th,,13,1201,1300,0,,,0,0,0,unknown,Unknown,Unknown,1,Unknown,,,2,Unknown,Unknown,,F,,,https://iiif.bodleian.ox.ac.uk/iiif/manifest/f667786c-b5b4-4d25-b2c9-b70488a79be2.json,,DJW,,,,,,,,,,,,,,,,,,
127,RARE BKS MS q Med. 275,Boston Public Library,Boston,United States of America,France > Île-de-France (region) > Paris,Y,France,Ile-de-France,Paris,[1250?–1260?],,13,1250,1260,,,Dominican Painter,232,158,390,2,167,108,1,14/44,,,2,Unknown,Unknown,,P,,https://ark.digitalcommonwealth.org/ark:/50959/5t34tr51v,,,DJW,,,,,,,,,,,,,,,,,,
128,RARE BKS MS pf Med. 104 v.1,Boston Public Library,Boston,United States of America,France > Île-de-France (region) > Paris,Y,France,Ile-de-France,Paris,1225-1250,,13,1226,1250,,,Du Prat workshop,440,317,757,3,320,207,1,Unknown,,,2,Unknown,Unknown,,P,,https://www.digitalcommonwealth.org/search/commonwealth:8910kn919,,,DJW,,,,,,,,,,,,,,,,,,
129,MS f Med 1,Boston Public Library,Boston,United States of America,France,Y,France,Unknown,Unknown,1250-1299,,13,1251,1300,,,,318,230,548,2,215,155,1,451,,,2,Unknown,Unknown,,P,,https://www.digitalcommonwealth.org/search/commonwealth:gq67mm95w,,,DJW,,,,,,,,,,,,,,,,,,
130,Additional 18720,British Library,London,United Kingdom,Bologna,Y,Italy,Emilia-Romagna,Bologna,,,13,1276,1300,,,,385,250,635,3,270,160,1,Unknown,,,2,Unknown,Unknown,,P,,https://www.bl.uk/catalogues/illuminatedmanuscripts/record.asp?MSID=8325&CollID=27&NStart=18720,,Partially digitised,DJW,,,,,,,,,,,,,,,,,,
131,Additional 50003,British Library,London,United Kingdom,Spain Catalonia (Vich?),Y,Spain,Catalogna,Vich?,1273,,13,1273,1273,Johannes Poncii,Gothic,,380,255,635,3,235,145,1,456,,,2,Unknown,Unknown,,P,,https://www.bl.uk/catalogues/illuminatedmanuscripts/record.asp?MSID=8315&CollID=27&NStart=50003,,,NAC,,,,,,,,,,,,,,,,,,
132,Royal 1 C II,British Library,London,United Kingdom,France Central (Paris),Y,France,Ile-de-France,Paris,Last quarter of the 13th century,,13,1276,1300,,Gothic,Cholet group,370,240,610,3,245,150,1,443,,,2,Unknown,Unknown,,P,,http://www.bl.uk/catalogues/illuminatedmanuscripts/record.asp?MSID=6552,,,DJW,,,,,,,,,,,,,,,,,,
133,Royal 1 D I,British Library,London,United Kingdom,England Oxford or Canterbury?,Y,England,Oxforshire or Kent,Oxford or Canterbury?,3rd quarter of the 13th century,,13,1276,1300,William of Devon,,,315,205,520,2,200,120,1,582,,,2,Unknown,Unknown,,P,,https://www.bl.uk/catalogues/illuminatedmanuscripts/record.asp?MSID=8746&CollID=16&NStart=10401,,Partially digitised,DJW,,,,,,,,,,,,,,,,,,
134,437,Cambridge Corpus Christi College,Cambridge,United Kingdom,North France?,N,France,North,Unknown,[ca. 1200 - 1299],Y,13,1201,1300,,,,190,135,325,1,Unknown,Unknown,1,300,,,2,Unknown,Unknown,,F,,https://parker.stanford.edu/parker/catalog/hr471qc4349,,,,,,,,,,,,,,,,,,,,,
